fundcode,fundname,holders
000135,中信保诚嘉鸿债券C,https://j6.dfcfw.com/charts/StockPos/000135.png?rg=NaN
000136,民生加银策略精选混合A,https://j6.dfcfw.com/charts/StockPos/000136.png?rg=NaN
000137,民生加银岁岁增利债券A,https://j6.dfcfw.com/charts/StockPos/000137.png?rg=NaN
000138,民生加银岁岁增利债券C,https://j6.dfcfw.com/charts/StockPos/000138.png?rg=NaN
000139,富国国有企业债债券A/B,https://j6.dfcfw.com/charts/StockPos/000139.png?rg=NaN
000140,富国国有企业债债券A/B(后端),https://j6.dfcfw.com/charts/StockPos/000140.png?rg=NaN
000141,富国国有企业债债券C,https://j6.dfcfw.com/charts/StockPos/000141.png?rg=NaN
000142,融通增强收益债券A,https://j6.dfcfw.com/charts/StockPos/000142.png?rg=NaN
000143,鹏华双债加利债券A,https://j6.dfcfw.com/charts/StockPos/000143.png?rg=NaN
000147,易方达高等级信用债债券A,https://j6.dfcfw.com/charts/StockPos/000147.png?rg=NaN
000148,易方达高等级信用债债券C,https://j6.dfcfw.com/charts/StockPos/000148.png?rg=NaN
000149,华安双债添利债券A,https://j6.dfcfw.com/charts/StockPos/000149.png?rg=NaN
000150,华安双债添利债券C,https://j6.dfcfw.com/charts/StockPos/000150.png?rg=NaN
000152,大成景旭纯债债券A,https://j6.dfcfw.com/charts/StockPos/000152.png?rg=NaN
000153,大成景旭纯债债券C,https://j6.dfcfw.com/charts/StockPos/000153.png?rg=NaN
000154,富国沪深300指数增强A(后端),https://j6.dfcfw.com/charts/StockPos/000154.png?rg=NaN
000155,富国通胀通缩主题轮动混合A(后端),https://j6.dfcfw.com/charts/StockPos/000155.png?rg=NaN
000157,富国全球科技互联网股票(QDII)A(后端),https://j6.dfcfw.com/charts/StockPos/000157.png?rg=NaN
000158,富国低碳环保混合(后端),https://j6.dfcfw.com/charts/StockPos/000158.png?rg=NaN
000159,富国高新技术产业混合(后端),https://j6.dfcfw.com/charts/StockPos/000159.png?rg=NaN
000160,富国强回报定开债A/B(后端),https://j6.dfcfw.com/charts/StockPos/000160.png?rg=NaN
000161,富国宏观策略灵活配置混合A(后端),https://j6.dfcfw.com/charts/StockPos/000161.png?rg=NaN
000162,富国中国中小盘混合(QDII)人民币A(后端),https://j6.dfcfw.com/charts/StockPos/000162.png?rg=NaN
000163,富国全球债券(QDII)人民币A(后端),https://j6.dfcfw.com/charts/StockPos/000163.png?rg=NaN
000164,富国上证指数ETF联接A(后端),https://j6.dfcfw.com/charts/StockPos/000164.png?rg=NaN
000165,国投瑞银策略精选混合,https://j6.dfcfw.com/charts/StockPos/000165.png?rg=NaN
000166,中海信息产业混合A,https://j6.dfcfw.com/charts/StockPos/000166.png?rg=NaN
000167,广发聚优灵活配置混合A,https://j6.dfcfw.com/charts/StockPos/000167.png?rg=NaN
000171,易方达裕丰回报债券A,https://j6.dfcfw.com/charts/StockPos/000171.png?rg=NaN
000172,华泰柏瑞量化增强混合A,https://j6.dfcfw.com/charts/StockPos/000172.png?rg=NaN
000173,汇添富美丽30混合A,https://j6.dfcfw.com/charts/StockPos/000173.png?rg=NaN
000174,汇添富高息债债券A,https://j6.dfcfw.com/charts/StockPos/000174.png?rg=NaN
000175,汇添富高息债债券C,https://j6.dfcfw.com/charts/StockPos/000175.png?rg=NaN
000176,嘉实沪深300指数研究增强A,https://j6.dfcfw.com/charts/StockPos/000176.png?rg=NaN
000179,广发美国房地产指数人民币(QDII)A,https://j6.dfcfw.com/charts/StockPos/000179.png?rg=NaN
000180,广发美国房地产指数美元现汇(QDII)A,https://j6.dfcfw.com/charts/StockPos/000180.png?rg=NaN
000181,景顺长城四季金利债券A,https://j6.dfcfw.com/charts/StockPos/000181.png?rg=NaN
000182,景顺长城四季金利债券C,https://j6.dfcfw.com/charts/StockPos/000182.png?rg=NaN
000183,嘉实丰益策略定期债券,https://j6.dfcfw.com/charts/StockPos/000183.png?rg=NaN
000184,工银添福债券A,https://j6.dfcfw.com/charts/StockPos/000184.png?rg=NaN
000185,工银添福债券B,https://j6.dfcfw.com/charts/StockPos/000185.png?rg=NaN
000186,华泰柏瑞季季红债券A,https://j6.dfcfw.com/charts/StockPos/000186.png?rg=NaN
000187,华泰柏瑞丰盛纯债债券A,https://j6.dfcfw.com/charts/StockPos/000187.png?rg=NaN
000188,华泰柏瑞丰盛纯债债券C,https://j6.dfcfw.com/charts/StockPos/000188.png?rg=NaN
000189,易方达丰华债券A,https://j6.dfcfw.com/charts/StockPos/000189.png?rg=NaN
000190,中银新回报灵活配置混合A,https://j6.dfcfw.com/charts/StockPos/000190.png?rg=NaN
000191,富国信用债债券A/B,https://j6.dfcfw.com/charts/StockPos/000191.png?rg=NaN
000192,富国信用债债券C,https://j6.dfcfw.com/charts/StockPos/000192.png?rg=NaN
000194,银华信用四季红债券A,https://j6.dfcfw.com/charts/StockPos/000194.png?rg=NaN
000195,工银成长收益混合A,https://j6.dfcfw.com/charts/StockPos/000195.png?rg=NaN
000196,工银成长收益混合B,https://j6.dfcfw.com/charts/StockPos/000196.png?rg=NaN
000197,富国目标收益一年期纯债债券,https://j6.dfcfw.com/charts/StockPos/000197.png?rg=NaN
000198,天弘余额宝货币,https://j6.dfcfw.com/charts/StockPos/000198.png?rg=NaN
000199,国泰量化策略收益混合A,https://j6.dfcfw.com/charts/StockPos/000199.png?rg=NaN
000200,博时岁岁增利一年持有期债券A,https://j6.dfcfw.com/charts/StockPos/000200.png?rg=NaN
000201,诺安泰鑫一年定期开放债券A,https://j6.dfcfw.com/charts/StockPos/000201.png?rg=NaN
000203,国富日日收益货币A,https://j6.dfcfw.com/charts/StockPos/000203.png?rg=NaN
000204,国富日日收益货币B,https://j6.dfcfw.com/charts/StockPos/000204.png?rg=NaN
000205,易方达投资级信用债债券A,https://j6.dfcfw.com/charts/StockPos/000205.png?rg=NaN
000206,易方达投资级信用债债券C,https://j6.dfcfw.com/charts/StockPos/000206.png?rg=NaN
000207,建信双债增强债券A,https://j6.dfcfw.com/charts/StockPos/000207.png?rg=NaN
000208,建信双债增强债券C,https://j6.dfcfw.com/charts/StockPos/000208.png?rg=NaN
000209,中信保诚新兴产业混合A,https://j6.dfcfw.com/charts/StockPos/000209.png?rg=NaN
000210,光大现金宝货币A,https://j6.dfcfw.com/charts/StockPos/000210.png?rg=NaN
000211,光大现金宝货币B,https://j6.dfcfw.com/charts/StockPos/000211.png?rg=NaN
000212,泰信鑫益定期开放A,https://j6.dfcfw.com/charts/StockPos/000212.png?rg=NaN
000213,泰信鑫益定期开放C,https://j6.dfcfw.com/charts/StockPos/000213.png?rg=NaN
000214,广发成长优选混合,https://j6.dfcfw.com/charts/StockPos/000214.png?rg=NaN
000215,广发趋势优选灵活配置混合A,https://j6.dfcfw.com/charts/StockPos/000215.png?rg=NaN
000216,华安黄金ETF联接A,https://j6.dfcfw.com/charts/StockPos/000216.png?rg=NaN
000217,华安黄金ETF联接C,https://j6.dfcfw.com/charts/StockPos/000217.png?rg=NaN
000218,国泰黄金ETF联接A,https://j6.dfcfw.com/charts/StockPos/000218.png?rg=NaN
000219,博时裕益混合A,https://j6.dfcfw.com/charts/StockPos/000219.png?rg=NaN
000220,富国医疗保健行业混合A,https://j6.dfcfw.com/charts/StockPos/000220.png?rg=NaN
000221,汇添富年年利定期开放债券A,https://j6.dfcfw.com/charts/StockPos/000221.png?rg=NaN
000222,汇添富年年利定期开放债券C,https://j6.dfcfw.com/charts/StockPos/000222.png?rg=NaN
000227,华安年年红债券A,https://j6.dfcfw.com/charts/StockPos/000227.png?rg=NaN
000235,诺安稳固收益一年定期开放债券A,https://j6.dfcfw.com/charts/StockPos/000235.png?rg=NaN
000236,工银月月薪定期支付债券A,https://j6.dfcfw.com/charts/StockPos/000236.png?rg=NaN
000239,华安年年盈定开债A,https://j6.dfcfw.com/charts/StockPos/000239.png?rg=NaN
000240,华安年年盈定开债C,https://j6.dfcfw.com/charts/StockPos/000240.png?rg=NaN
000241,宝盈核心优势混合C,https://j6.dfcfw.com/charts/StockPos/000241.png?rg=NaN
000242,景顺长城策略精选灵活配置混合A,https://j6.dfcfw.com/charts/StockPos/000242.png?rg=NaN
000244,天弘稳利定期开放A,https://j6.dfcfw.com/charts/StockPos/000244.png?rg=NaN
000245,天弘稳利定期开放B,https://j6.dfcfw.com/charts/StockPos/000245.png?rg=NaN
000248,汇添富中证主要消费ETF联接A,https://j6.dfcfw.com/charts/StockPos/000248.png?rg=NaN
000251,工银金融地产混合A,https://j6.dfcfw.com/charts/StockPos/000251.png?rg=NaN
000252,景顺长城景兴信用纯债债券A,https://j6.dfcfw.com/charts/StockPos/000252.png?rg=NaN
000253,景顺长城景兴信用纯债债券C,https://j6.dfcfw.com/charts/StockPos/000253.png?rg=NaN
000254,长城增强收益定开债券A,https://j6.dfcfw.com/charts/StockPos/000254.png?rg=NaN
000255,长城增强收益定开债券C,https://j6.dfcfw.com/charts/StockPos/000255.png?rg=NaN
000259,农银区间收益混合,https://j6.dfcfw.com/charts/StockPos/000259.png?rg=NaN
000263,工银信息产业混合A,https://j6.dfcfw.com/charts/StockPos/000263.png?rg=NaN
000264,博时内需增长混合A,https://j6.dfcfw.com/charts/StockPos/000264.png?rg=NaN
000265,易方达恒久添利1年定开债A,https://j6.dfcfw.com/charts/StockPos/000265.png?rg=NaN
000266,易方达恒久添利1年定开债C,https://j6.dfcfw.com/charts/StockPos/000266.png?rg=NaN
000267,广发集利一年定开债A,https://j6.dfcfw.com/charts/StockPos/000267.png?rg=NaN
000268,广发集利一年定开债C,https://j6.dfcfw.com/charts/StockPos/000268.png?rg=NaN
000270,建信灵活配置混合A,https://j6.dfcfw.com/charts/StockPos/000270.png?rg=NaN
000271,中邮定开债券A,https://j6.dfcfw.com/charts/StockPos/000271.png?rg=NaN
000272,中邮定开债券C,https://j6.dfcfw.com/charts/StockPos/000272.png?rg=NaN
000273,华润元大安鑫灵活配置混合A,https://j6.dfcfw.com/charts/StockPos/000273.png?rg=NaN
000274,广发亚太中高收益债(QDII)A,https://j6.dfcfw.com/charts/StockPos/000274.png?rg=NaN
000275,广发亚太中高收益债美元现汇(QDII)A,https://j6.dfcfw.com/charts/StockPos/000275.png?rg=NaN
000277,博时双月薪债券A,https://j6.dfcfw.com/charts/StockPos/000277.png?rg=NaN
000279,华商红利优选混合,https://j6.dfcfw.com/charts/StockPos/000279.png?rg=NaN
000286,银华信用季季红债券A,https://j6.dfcfw.com/charts/StockPos/000286.png?rg=NaN
000289,鹏华丰泰定开债A,https://j6.dfcfw.com/charts/StockPos/000289.png?rg=NaN
000290,鹏华全球高收益债(QDII),https://j6.dfcfw.com/charts/StockPos/000290.png?rg=NaN
000294,华安生态优先混合A,https://j6.dfcfw.com/charts/StockPos/000294.png?rg=NaN
000295,鹏华丰实定期开放债券A,https://j6.dfcfw.com/charts/StockPos/000295.png?rg=NaN
000296,鹏华丰实定期开放债券B,https://j6.dfcfw.com/charts/StockPos/000296.png?rg=NaN
000297,鹏华可转债债券A,https://j6.dfcfw.com/charts/StockPos/000297.png?rg=NaN
