stock_code,stock_name,hold_amount,hold_ratio,hold_value,change_amount,change_ratio,market_value,netasset_ratio,free_shares_ratio,holder_code,holder_name,parent_org_code,parent_org_name,org_type_code,org_type,org_name_abbr,fundcode,report_date,update_time,daily_change_pct,estimated_contribution_pct
301656,联合动力,7395.0,0.0,195523.8,0.0,0.0,0.0,0.0,0.0,018124,永赢先进制造智选混合发起A,10352302,永赢基金管理有限公司,1,基金,永赢基金,018124,2025-12-31,2026-04-13 19:17:11,0.0,0.0
601026,道生天合,4503.0,0.0006145,90105.03,0.0,0.0,0.0,0.0,0.00378043,018124,永赢先进制造智选混合发起A,10352302,永赢基金管理有限公司,1,基金,永赢基金,018124,2025-12-31,2026-04-13 19:17:11,-0.32,-0.0
688729,屹唐股份,3505.0,0.0,85802.4,0.0,0.0,0.0,0.0,0.0,018124,永赢先进制造智选混合发起A,10352302,永赢基金管理有限公司,1,基金,永赢基金,018124,2025-12-31,2026-04-13 19:17:11,-0.27,-0.0
688783,西安奕材,2054.0,0.0,48885.2,0.0,0.0,0.0,0.0,0.0,018124,永赢先进制造智选混合发起A,10352302,永赢基金管理有限公司,1,基金,永赢基金,018124,2025-12-31,2026-04-13 19:17:11,0.32,0.0
301638,南网数字,2322.0,0.0,43676.82,0.0,0.0,0.0,0.0,0.0,018124,永赢先进制造智选混合发起A,10352302,永赢基金管理有限公司,1,基金,永赢基金,018124,2025-12-31,2026-04-13 19:17:11,1.59,0.0
001386,马可波罗,1626.0,0.0,36958.98,0.0,0.0,0.0,0.0,0.0,018124,永赢先进制造智选混合发起A,10352302,永赢基金管理有限公司,1,基金,永赢基金,018124,2025-12-31,2026-04-13 19:17:11,0.56,0.0
688727,恒坤新材,563.0,0.0,26894.51,0.0,0.0,0.0,0.0,0.0,018124,永赢先进制造智选混合发起A,10352302,永赢基金管理有限公司,1,基金,永赢基金,018124,2025-12-31,2026-04-13 19:17:11,0.14,0.0
301563,云汉芯城,110.0,0.0,16857.5,0.0,0.0,0.0,0.0,0.0,018124,永赢先进制造智选混合发起A,10352302,永赢基金管理有限公司,1,基金,永赢基金,018124,2025-12-31,2026-04-13 19:17:11,1.46,0.0
301632,广东建科,656.0,0.0,15862.08,0.0,0.0,0.0,0.0,0.0,018124,永赢先进制造智选混合发起A,10352302,永赢基金管理有限公司,1,基金,永赢基金,018124,2025-12-31,2026-04-13 19:17:11,0.73,0.0
301491,汉桑科技,245.0,0.0,13739.6,0.0,0.0,0.0,0.0,0.0,018124,永赢先进制造智选混合发起A,10352302,永赢基金管理有限公司,1,基金,永赢基金,018124,2025-12-31,2026-04-13 19:17:11,-0.2,-0.0
