SH,601233,1.37,56208,56311
SZ,002049,-0.17,55966,55974
SZ,000831,1.35,55916,55916
SZ,002422,1.01,55762,68308
SZ,002532,0.22,55155,62164
SZ,300136,2.08,55074,64576
SH,600372,-0.52,54873,54873
SH,688313,2.01,54754,54754
SZ,002558,-1.56,54736,54736
SZ,002920,-1.76,54680,54698
SH,600885,-0.69,54630,54630
SH,601877,-0.03,54541,54541
SH,600096,-0.52,54435,54435
SZ,002484,1.6,54258,56245
SZ,300666,2.67,54173,67613
SZ,300765,-3.71,54091,54091
SH,600219,-0.2,54088,54088
SZ,300450,0.2,53909,57878
SH,601059,-0.41,53737,53737
SH,688630,3.21,53384,59367
SH,600803,-0.11,53294,53701
SH,600879,0.06,52987,52987
SZ,300058,-1.95,52308,53997
SH,600460,0.83,52285,52285
SH,600497,-0.28,51866,51866
SH,600350,-0.82,51827,51827
SH,603659,0.42,51675,51675
SH,600418,-2.42,51674,53334
SZ,301269,-0.47,51473,51473
SZ,300548,1.76,51195,51299
SZ,000157,-0.54,51114,62529
SZ,300418,-0.99,51080,55848
SZ,300373,0.01,50983,51096
SH,600601,4.44,50961,52225
SH,601377,-0.16,50952,50952
SZ,300316,1.45,50913,54136
SZ,001872,-0.17,50673,54632
SH,600895,-0.3,50487,50487
SZ,300803,-1.34,50364,50735
SZ,002821,1.39,50337,57281
SH,688578,0.91,50279,50279
SH,600741,-0.49,50191,50191
SZ,301358,0.48,50033,55493
SH,688110,0.98,49989,49989
SZ,000783,-0.55,49107,49107
SZ,002436,2.57,49090,54967
SH,600498,2.01,49021,52357
SH,688469,0.73,48837,69744
SH,603979,-0.74,48537,48537
SH,688048,2.79,48526,48526
SZ,000963,-0.6,48471,48491
SH,601699,-0.91,48132,48132
SH,600196,-0.43,48005,60512
SH,688432,0.87,47737,47737
SH,601298,-1.22,47558,57252
SH,688375,1.66,47324,47324
SH,601117,-0.63,47304,47440
SZ,000066,-0.74,47158,47161
SZ,300567,-0.21,47122,58059
SH,601618,-0.37,46774,54212
SH,688223,2.03,46418,46418
SH,600726,-1.27,46198,48867
SZ,002409,0,46189,69014
SZ,002414,0.15,45915,57698
SH,688147,0.84,45875,45875
SH,601607,-0.54,45576,60595
SH,688729,-0.38,45087,76224
SZ,002636,3.7,45060,45289
SH,601021,-0.77,45042,45042
SH,600930,-0.47,45014,174783
SH,600377,-0.92,44790,59345
SH,601058,-0.94,44718,44718
SH,688146,-0.09,44605,162889
SH,688047,-0.48,44511,44511
SH,601198,-0.64,44446,44446
SH,603629,-0.09,44153,44888
SH,601208,3.54,43680,43680
SH,688220,0.23,43478,43478
SZ,002203,1.66,43225,44781
SH,600570,-1.89,43043,43043
SH,601878,-0.31,43039,43039
SH,600027,-0.42,43037,54227
SH,600985,-3.26,42984,42984
SH,600143,0.37,42711,43334
SH,603083,1.41,42705,57064
SH,603268,1.56,42638,186221
SH,688188,-1.3,42628,42628
SH,688187,-0.05,42603,65244
SH,605376,-0.98,42432,42432
SH,688009,-0.39,42415,52102
SH,600352,-0.83,42261,42261
SH,603260,1.25,42027,42027
SZ,300395,0.17,42013,43094
SH,688331,-0.96,41996,66608
SH,688234,2.23,41996,47362
SH,688303,5.03,41817,41817
SH,688099,0,41790,41790
SH,688627,0.79,41433,41433
SH,600021,-1.07,41228,41228
SZ,000999,-0.83,41168,41206
SH,688808,1.29,40947,217860
SH,688728,-0.62,40931,40959
SH,600061,-0.61,40794,40794
SH,600642,-0.47,40668,40670
SH,600667,1.1,40534,40534
SZ,300390,0.92,40397,49920
SH,600909,-0.73,40395,40395
SZ,002236,-0.99,40290,55087
SH,600588,-1.91,40184,40184
SH,600995,-1.02,40110,40110
SZ,000811,1.59,40065,40642
SH,601212,-0.54,40060,40060
SH,601136,-0.47,39961,39961
SZ,300979,-0.63,39911,39911
SH,603806,1.6,39862,39862
SH,600392,0.31,39807,39807
SH,600845,-1.52,39800,53300
SH,603379,-1.21,39651,39651
SZ,002945,-0.73,39582,39582
SH,601555,-0.49,39551,39551
SZ,000559,0.17,39176,39188
SH,601456,-0.32,39130,50784
SH,600578,-0.5,39097,39097
SH,603699,-0.53,39044,39927
SZ,000893,-0.3,38991,44382
SH,601216,-0.21,38984,38984
SH,601108,-0.58,38915,38915
SZ,002155,-1.62,38657,38660
SZ,000987,-0.51,38603,38632
SH,603650,1,38584,38677
SZ,002407,-0.9,38577,42570
SH,601238,-0.75,38543,53229
SH,601777,-1.38,38475,38475
SZ,300115,0.57,38277,38390
SH,688336,0,38260,38260
SZ,002195,-1.44,38244,38589
SZ,002078,-1,38206,39274
SH,603087,-0.28,38159,40660
SH,600206,2.85,38129,38129
SH,601665,-0.79,38092,38092
SH,688295,-3.83,38070,38070
SZ,002738,0.89,37982,38964
SZ,300919,1.35,37869,43241
SH,600600,-0.46,37804,72725
SH,688472,1.47,37707,37707
SZ,002294,-0.14,37672,37681
SZ,300346,2.65,37641,39659
SH,688433,3.76,37635,37635
SZ,002850,-0.02,37517,51236
SZ,002273,0.48,37499,38173
SH,601577,-0.85,37232,37240
SH,601126,0.76,37137,37498
SH,600141,-3.96,36929,36929
SZ,002138,-0.67,36900,38824
SH,600901,-0.46,36885,36894
SZ,000983,-2.99,36731,36731
SZ,001203,1.41,36684,43064
SZ,002429,1.12,36647,36668
SZ,000688,0.19,36607,36607
SH,603392,-0.91,36579,36579
SZ,002653,1.43,36518,76188
SZ,300972,-0.74,36467,39692
SZ,300454,0.48,36464,54640
SZ,000596,-1.05,36443,47146
SZ,300037,-1.28,36333,50096
SH,601808,0.25,36295,58500
