股票代码,名称,流通市值,市值分位
688523,航天环宇,248.93,2
300503,昊志机电,220.66,2
975,山金国际,505.4,3
300069,金利华电,43.13,1
601985,中国核电,1682.5,4
601012,隆基绿能,917.7,3
688432,有研硅,707.67,3
600839,四川长虹,315.2,2
301205,联特科技,221.56,2
810,创维数字,142.6,2
779,甘咨询,49.27,1
301526,国际复材,530.44,3
601888,中国中免,1029.54,4
600481,双良节能,94.95,2
2636,金安国纪,699.98,3
600887,伊利股份,1565.93,4
300184,力源信息,177.06,2
21,深科技,911.59,3
2881,美格智能,68.63,1
300323,华灿光电,188.25,2
600489,中金黄金,985.94,3
300657,弘信电子,187.12,2
301306,西测测试,97.76,2
688331,荣昌生物,476.97,2
2272,川润股份,96.89,2
301232,飞沃科技,111.89,2
2653,海思科,372.15,2
603667,五洲新春,225.21,2
301392,汇成真空,111.39,2
688256,寒武纪,8796.1,4
688568,中科星图,338.99,2
300759,康龙化成,481.96,2
600372,中航机载,560.34,3
600048,保利发展,575.78,3
300568,星源材质,212.34,2
733,振华科技,261.2,2
300489,光智科技,353.55,2
2943,宇晶股份,82.26,1
300170,汉得信息,156.58,2
300726,宏达电子,144.64,2
2422,科伦药业,572.3,3
603155,新亚强,89.3,1
601608,中信重工,230.81,2
564,供销大集,205.29,2
2824,和胜股份,69.41,1
2517,恺英网络,319.63,2
603110,东方材料,46.66,1
48,京基智农,127.56,2
688111,金山办公,1084.68,4
301165,锐捷网络,1153.84,4
301310,鑫宏业,35.76,1
600418,江淮汽车,538.8,3
600919,XD江苏银,2033.33,4
600428,中远海特,219.83,2
601319,中国人保,2506.14,4
2015,协鑫能科,241.55,2
301021,英诺激光,145.54,2
300699,光威复材,235.83,2
600629,华建集团,146.6,2
688311,盟升电子,56.72,1
601658,邮储银行,3655.4,4
600011,华能国际,752.24,3
600795,国电电力,848.98,3
300105,龙源技术,42.17,1
2850,科达利,420.22,2
688376,美埃科技,130.61,2
688388,嘉元科技,221.79,2
603823,百合花,275.47,2
2693,双成药业,42.95,1
603118,共进股份,111.79,2
688538,和辉光电-U,144.38,2
300474,景嘉微,258.64,2
2730,电光科技,97.23,2
300738,奥飞数据,205.15,2
300042,朗科科技,126.84,2
600157,永泰能源,338.18,2
300142,沃森生物,207.24,2
300709,精研科技,70.82,1
601727,上海电气,860.39,3
300762,上海瀚讯,285.28,2
301183,东田微,130.49,2
2471,中超控股,78.19,1
300487,蓝晓科技,249.16,2
3036,泰坦股份,171.4,2
603256,宏和科技,1812.5,4
568,泸州老窖,1150.07,4
301171,易点天下,156.14,2
601377,兴业证券,531.98,3
301092,争光股份,33.52,1
688123,聚辰股份,324.18,2
600595,中孚实业,238.07,2
301128,强瑞技术,186.12,2
300347,泰格医药,267.77,2
600399,抚顺特钢,81.45,1
300990,同飞股份,84.79,1
600690,海尔智家,1272.49,4
661,长春高新,277.73,2
600547,山东黄金,902.17,3
688722,同益中,41.03,1
600072,中船科技,96.53,2
301511,德福科技,436.52,2
2493,荣盛石化,1022.52,4
301379,天山电子,77.5,1
301191,菲菱科思,89.74,1
688775,影石创新,359.47,2
688202,美迪西,116.89,2
688403,汇成股份,352.77,2
2970,锐明技术,74.39,1
601077,渝农商行,556.81,3
603087,甘李药业,373.0,2
158,常山北明,212.46,2
2115,三维通信,81.72,1
920,沃顿科技,60.26,1
603881,数据港,218.27,2
2544,普天科技,128.4,2
1400,江顺科技,48.03,1
1359,平安电工,71.0,1
2437,誉衡药业,65.73,1
600718,东软集团,95.72,2
688433,华曙高科,351.45,2
300053,航宇微,109.86,2
600436,片仔癀,706.18,3
2236,大华股份,413.43,2
301536,星宸科技,220.91,2
2532,天山铝业,458.74,2
688726,拉普拉斯,109.02,2
600733,北汽蓝谷,268.33,2
688295,中复神鹰,447.03,2
603010,万盛股份,86.13,1
603322,超讯科技,48.95,1
2602,世纪华通,954.27,3
603163,圣晖集成,114.99,2
688120,华海清科,1605.9,4
688772,珠海冠宇,204.21,2
2128,电投能源,537.98,3
688343,云天励飞-U,313.32,2
688222,成都先导,143.72,2
688101,三达膜,56.81,1
300331,苏大维格,144.39,2
300043,星辉娱乐,72.13,1
600027,华电国际,414.71,2
600783,鲁信创投,148.5,2
970,中科三环,188.68,2
300008,天海防务,102.96,2
2,万  科Ａ,302.2,2
2364,中恒电气,312.82,2
688519,南亚新材,780.8,3
688690,纳微科技,161.93,2
3043,华亚智能,87.79,1
300790,宇瞳光学,99.55,2
300868,杰美特,104.18,2
688266,泽璟制药-U,383.83,2
603131,上海沪工,61.79,1
510,新金路,114.65,2
2254,泰和新材,120.79,2
2739,儒意电影,217.15,2
300005,探路者,184.08,2
2432,九安医疗,273.58,2
2121,科陆电子,75.38,1
601929,吉视传媒,81.66,1
300918,南山智尚,62.61,1
300684,中石科技,142.22,2
601699,潞安环能,443.63,2
600711,盛屯矿业,331.93,2
688669,聚石化学,105.43,2
2920,德赛西威,530.87,3
2459,晶澳科技,251.65,2
2957,科瑞技术,187.19,2
300786,国林科技,34.99,1
600227,赤天化,32.71,1
600016,民生银行,1184.43,4
561,烽火电子,58.84,1
300129,泰胜风能,68.42,1
338,潍柴动力,1365.61,4
300580,贝斯特,108.32,2
